waypoint1	waypoint2	distance_m	duration_s
San Andreas Fault, San Benito County, CA	USS Constitution, Boston, MA	5127066	166118
Taliesin, County Road C, Spring Green, Wisconsin	Carlsbad Caverns National Park, Carlsbad, NM	2204052	73554
Craters of the Moon National Monument & Preserve, Arco, ID	The Alamo, Alamo Plaza, San Antonio, TX	2521885	85156
Columbia River Gorge National Scenic Area, Oregon	Yellowstone National Park, WY 82190	1256183	44187
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	The Alamo, Alamo Plaza, San Antonio, TX	1309345	42093
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Acadia National Park, Maine	3724389	124240
Fort Sumter National Monument, Sullivan's Island, SC	Ashfall Fossil Bed, Royal, NE	2352379	78351
Cape Canaveral, FL	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1250496	40647
Cape Canaveral, FL	Glacier National Park, West Glacier, MT	4307076	142448
Yellowstone National Park, WY 82190	Maryland State House, 100 State Cir, Annapolis, MD 21401	3415222	115471
USS Alabama, Battleship Parkway, Mobile, AL	Acadia National Park, Maine	2699406	91143
The Breakers, Ochre Point Avenue, Newport, RI	Carlsbad Caverns National Park, Carlsbad, NM	3575389	120443
USS Alabama, Battleship Parkway, Mobile, AL	Wright Brothers National Memorial Visitor Center, Manteo, NC	1489641	47371
Craters of the Moon National Monument & Preserve, Arco, ID	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	2830185	93053
White House, Pennsylvania Avenue Northwest, Washington, DC	Liberty Bell, 6th Street, Philadelphia, PA	222262	8681
Cape Canaveral, FL	Congress Hall, Congress Place, Cape May, NJ 08204	1697312	55854
White House, Pennsylvania Avenue Northwest, Washington, DC	Hoover Dam, NV	3903362	124367
White House, Pennsylvania Avenue Northwest, Washington, DC	USS Alabama, Battleship Parkway, Mobile, AL	1557762	50489
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	USS Constitution, Boston, MA	251490	9141
Toltec Mounds, Scott, AR	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	722344	25621
Hoover Dam, NV	Taliesin, County Road C, Spring Green, Wisconsin	2756482	87943
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Carlsbad Caverns National Park, Carlsbad, NM	874048	32668
Terrace Hill, Grand Avenue, Des Moines, IA	USS Alabama, Battleship Parkway, Mobile, AL	1568964	54621
Taliesin, County Road C, Spring Green, Wisconsin	Bryce Canyon National Park, Hwy 63, Bryce, UT	2408644	77843
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Ashfall Fossil Bed, Royal, NE	1048083	38555
USS Alabama, Battleship Parkway, Mobile, AL	Statue of Liberty, Liberty Island, NYC, NY	1924046	63442
USS Constitution, Boston, MA	Graceland, Elvis Presley Boulevard, Memphis, TN	2123612	70356
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	USS Constitution, Boston, MA	3083351	101546
New Castle Historic District, Delaware	Fort Sumter National Monument, Sullivan's Island, SC	1004882	33427
New Castle Historic District, Delaware	Bryce Canyon National Park, Hwy 63, Bryce, UT	3700408	122392
Toltec Mounds, Scott, AR	Statue of Liberty, Liberty Island, NYC, NY	1983218	65198
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Statue of Liberty, Liberty Island, NYC, NY	577769	21185
Fort Snelling, Tower Avenue, Saint Paul, MN	Liberty Bell, 6th Street, Philadelphia, PA	1884969	62721
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2207410	72657
Mount Vernon, Fairfax County, Virginia	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1638902	52822
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Lost World Caverns, Lewisburg, WV	965974	32704
Grand Canyon National Park, Arizona	Carlsbad Caverns National Park, Carlsbad, NM	1133513	39329
Columbia River Gorge National Scenic Area, Oregon	The Alamo, Alamo Plaza, San Antonio, TX	3174721	106655
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	The Alamo, Alamo Plaza, San Antonio, TX	1693831	55829
The Breakers, Ochre Point Avenue, Newport, RI	Yellowstone National Park, WY 82190	3809631	129720
Columbia River Gorge National Scenic Area, Oregon	Liberty Bell, 6th Street, Philadelphia, PA	4452737	143138
Pikes Peak, Colorado	Graceland, Elvis Presley Boulevard, Memphis, TN	1792648	59387
White House, Pennsylvania Avenue Northwest, Washington, DC	Carlsbad Caverns National Park, Carlsbad, NM	2929429	97582
Olympia Entertainment, Woodward Avenue, Detroit, MI	Wright Brothers National Memorial Visitor Center, Manteo, NC	1296121	44369
Grand Canyon National Park, Arizona	Graceland, Elvis Presley Boulevard, Memphis, TN	2265379	71619
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	USS Constitution, Boston, MA	4988547	160559
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1553662	49960
Ashfall Fossil Bed, Royal, NE	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1604555	55610
Shelburne Farms, Harbor Road, Shelburne, VT	Craters of the Moon National Monument & Preserve, Arco, ID	3928519	131689
Shelburne Farms, Harbor Road, Shelburne, VT	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1724831	61054
Hoover Dam, NV	C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	2223982	70640
Terrace Hill, Grand Avenue, Des Moines, IA	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	1452974	46620
Columbia River Gorge National Scenic Area, Oregon	C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	2704800	87158
Hanford Site, Benton County, WA	USS Constitution, Boston, MA	4699823	153155
French Quarter, New Orleans, LA	Craters of the Moon National Monument & Preserve, Arco, ID	3174474	105417
Fort Snelling, Tower Avenue, Saint Paul, MN	Ashfall Fossil Bed, Royal, NE	619852	22820
